merged_person_id,first_abs,last_abs,first_ts,frames,age_mode,gender_mode
130,2025-08-16 12:00:44.293,2025-08-16 12:01:08.493,00:19:44.294,3,24,Male
131,2025-08-16 12:00:47.960,2025-08-16 12:00:48.693,00:19:47.960,2,25,Male
132,2025-08-16 12:00:49.426,2025-08-16 12:00:49.426,00:19:49.427,1,31,Male
133,2025-08-16 12:00:50.160,2025-08-16 12:00:53.826,00:19:50.160,6,31,Female
134,2025-08-16 12:00:55.293,2025-08-16 12:00:55.293,00:19:55.293,1,31,Male
135,2025-08-16 12:01:11.426,2025-08-16 12:01:14.359,00:20:11.426,4,24,Female
136,2025-08-16 12:01:15.826,2025-08-16 12:01:15.826,00:20:15.826,1,39,Male
137,2025-08-16 12:01:40.025,2025-08-16 12:01:49.558,00:20:40.025,14,30,Male
138,2025-08-16 12:01:50.291,2025-08-16 12:01:51.758,00:20:50.292,2,27,Male
139,2025-08-16 12:02:59.955,2025-08-16 12:03:08.755,00:21:59.956,2,38,Female
140,2025-08-16 12:03:01.422,2025-08-16 12:03:02.155,00:22:01.423,2,23,Male
141,2025-08-16 12:03:06.555,2025-08-16 12:03:06.555,00:22:06.556,1,45,Female
142,2025-08-16 12:03:22.688,2025-08-16 12:03:22.688,00:22:22.689,1,25,Male
143,2025-08-16 12:03:45.421,2025-08-16 12:05:30.284,00:22:45.421,122,0,
144,2025-08-16 12:03:52.754,2025-08-16 12:03:59.353,00:22:52.754,9,22,Male
145,2025-08-16 12:04:06.687,2025-08-16 12:04:08.153,00:23:06.687,2,24,Male
146,2025-08-16 12:04:11.086,2025-08-16 12:04:11.820,00:23:11.087,2,24,Female
147,2025-08-16 12:04:39.685,2025-08-16 12:05:20.751,00:23:39.686,27,0,
148,2025-08-16 12:05:19.284,2025-08-16 12:05:19.284,00:24:19.285,1,37,Female
149,2025-08-16 12:05:20.017,2025-08-16 12:05:20.017,00:24:20.018,1,32,Male
150,2025-08-16 12:05:20.751,2025-08-16 12:05:20.751,00:24:20.751,1,27,Male
151,2025-08-16 12:05:25.884,2025-08-16 12:05:25.884,00:24:25.884,1,30,Female
152,2025-08-16 12:06:00.349,2025-08-16 12:06:00.349,00:25:00.350,1,27,Male
153,2025-08-16 12:06:03.283,2025-08-16 12:06:03.283,00:25:03.283,1,29,Male
154,2025-08-16 12:06:06.949,2025-08-16 12:06:07.683,00:25:06.950,2,26,Female
155,2025-08-16 12:06:18.682,2025-08-16 12:08:11.612,00:25:18.683,56,0,
156,2025-08-16 12:06:42.881,2025-08-16 12:07:37.880,00:25:42.882,47,0,
157,2025-08-16 12:08:32.878,2025-08-16 12:08:32.878,00:27:32.878,1,30,Male
158,2025-08-16 12:08:44.611,2025-08-16 12:09:47.675,00:27:44.611,18,0,
159,2025-08-16 12:09:28.609,2025-08-16 12:09:28.609,00:28:28.610,1,30,Male
160,2025-08-16 12:09:49.142,2025-08-16 12:09:49.142,00:28:49.142,1,29,Male
161,2025-08-16 12:09:52.808,2025-08-16 12:09:52.808,00:28:52.809,1,26,Male
162,2025-08-16 12:10:03.075,2025-08-16 12:10:03.075,00:29:03.075,1,35,Female
163,2025-08-16 12:10:04.541,2025-08-16 12:10:04.541,00:29:04.542,1,32,Male
164,2025-08-16 12:10:14.808,2025-08-16 12:10:14.808,00:29:14.808,1,28,Male
165,2025-08-16 12:10:16.274,2025-08-16 12:10:16.274,00:29:16.275,1,44,Male
166,2025-08-16 12:10:48.540,2025-08-16 12:10:48.540,00:29:48.540,1,24,Female
167,2025-08-16 12:10:48.540,2025-08-16 12:10:49.273,00:29:48.540,2,24,Male
168,2025-08-16 12:11:29.605,2025-08-16 12:11:29.605,00:30:29.606,1,28,Female
169,2025-08-16 12:12:06.271,2025-08-16 12:12:07.737,00:31:06.271,2,25,Male
170,2025-08-16 12:12:10.670,2025-08-16 12:12:10.670,00:31:10.671,1,22,Male
